description,industry,level,size,line_code,value,Unit,Footnotes
Total number of businesses,total,0,6019 employees,,35562,Number of businesses,1 and 2 and 3 and 4 and 6
Total number of businesses,total,0,20049 employees,,8796,Number of businesses,1 and 2 and 3 and 4 and 6
Total number of businesses,total,0,50099 employees,,2529,Number of businesses,1 and 2 and 3 and 4 and 6
Total number of businesses,total,0,100+ employees,,2100,Number of businesses,1 and 2 and 3 and 4 and 6
Total number of businesses,"Agriculture, forestry, & fishing",1,total,,3756,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Agriculture,2,total,,2460,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Commercial fishing,2,total,,57,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Forestry & logging,2,total,,258,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Agriculture, forestry, & fishing support services",2,total,,981,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Mining,1,total,,120,Number of businesses,1 and 2 and 3 and 5 and 6
Total number of businesses,Manufacturing,1,total,,5421,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Food, beverage, & tobacco",2,total,,1233,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Textile, clothing, footwear, & leather",2,total,,255,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Wood & paper product,2,total,,516,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Printing, publishing, & recorded media",2,total,,201,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Petroleum, coal, chemical, & associated product",2,total,,447,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Non-metallic mineral product,2,total,,210,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Metal product,2,total,,1002,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Transport and industrial machinery & equipment,2,total,,948,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Other machinery & equipment,2,total,,237,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Other manufacturing,2,total,,372,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Electricity, gas, water, & waste services",1,total,,207,Number of businesses,1 and 2 and 3 and 5 and 6
Total number of businesses,Construction,1,total,,7440,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Wholesale trade,1,total,,3228,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Machinery & equipment wholesaling,2,total,,951,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Other wholesale trade,2,total,,2274,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Retail trade,1,total,,5070,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Accommodation & food services,1,total,,6774,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Transport, postal, & warehousing",1,total,,1677,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Information media & telecommunications,1,total,,459,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Publishing,2,total,,189,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Motion picture,2,total,,144,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Telecommunications,2,total,,126,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Financial & insurance services,1,total,,696,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Finance,2,total,,213,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Insurance,2,total,,36,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Auxiliary,2,total,,447,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Rental, hiring, & real estate services",1,total,,1044,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Professional, scientific, & technical services",1,total,,5190,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Computer systems design,2,total,,990,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Other professional scientific,2,total,,4203,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Administrative & support services,1,total,,1845,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Education & training,1,total,,1182,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Health care & social assistance,1,total,,2925,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Arts & recreation services,1,total,,567,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Other services,1,total,,1383,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,total,0,total,,48990,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,total,0,6019 employees,C0201.01,756,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business: not important,total,0,20049 employees,C0201.01,231,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business: not important,total,0,50099 employees,C0201.01,45,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business: not important,total,0,100+ employees,C0201.01,42,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business: not important,"Agriculture, forestry, & fishing",1,total,C0201.01,159,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,Agriculture,2,total,C0201.01,117,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,Commercial fishing,2,total,C0201.01,3,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,Forestry & logging,2,total,C0201.01,18,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,"Agriculture, forestry, & fishing support services",2,total,C0201.01,21,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,Mining,1,total,C0201.01,9,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of pricing of goods and services sold by this business: not important,Manufacturing,1,total,C0201.01,33,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,"Food, beverage, & tobacco",2,total,C0201.01,12,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,"Textile, clothing, footwear, & leather",2,total,C0201.01,3,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,Wood & paper product,2,total,C0201.01,0,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,"Printing, publishing, & recorded media",2,total,C0201.01,3,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,"Petroleum, coal, chemical, & associated product",2,total,C0201.01,3,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,Non-metallic mineral product,2,total,C0201.01,0,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,Metal product,2,total,C0201.01,3,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,Transport and industrial machinery & equipment,2,total,C0201.01,0,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,Other machinery & equipment,2,total,C0201.01,0,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,Other manufacturing,2,total,C0201.01,6,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,"Electricity, gas, water, & waste services",1,total,C0201.01,3,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of pricing of goods and services sold by this business: not important,Construction,1,total,C0201.01,48,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,Wholesale trade,1,total,C0201.01,36,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,Machinery & equipment wholesaling,2,total,C0201.01,33,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,Other wholesale trade,2,total,C0201.01,0,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,Retail trade,1,total,C0201.01,54,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,Accommodation & food services,1,total,C0201.01,258,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,"Transport, postal, & warehousing",1,total,C0201.01,18,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,Information media & telecommunications,1,total,C0201.01,0,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,Publishing,2,total,C0201.01,0,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,Motion picture,2,total,C0201.01,0,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: not important,Telecommunications,2,total,C0201.01,0,Number of businesses,1 and 2 and 3 and 6
